座位编号,座位类型,状态,关联自习室ID.自习室名称,关联自习室ID.ID
room-001-1-1,中央图书馆-1-1,靠窗,可用,中央图书馆,room-001
room-001-1-2,中央图书馆-1-2,有插座,可用,中央图书馆,room-001
room-001-1-3,中央图书馆-1-3,普通,可用,中央图书馆,room-001
room-001-1-4,中央图书馆-1-4,靠窗,可用,中央图书馆,room-001
room-001-1-5,中央图书馆-1-5,有插座,可用,中央图书馆,room-001
room-001-1-6,中央图书馆-1-6,普通,可用,中央图书馆,room-001
room-001-1-7,中央图书馆-1-7,靠窗,可用,中央图书馆,room-001
room-001-1-8,中央图书馆-1-8,有插座,可用,中央图书馆,room-001
room-001-1-9,中央图书馆-1-9,普通,可用,中央图书馆,room-001
room-001-1-10,中央图书馆-1-10,靠窗,可用,中央图书馆,room-001
room-001-2-1,中央图书馆-2-1,有插座,可用,中央图书馆,room-001
room-001-2-2,中央图书馆-2-2,普通,可用,中央图书馆,room-001
room-001-2-3,中央图书馆-2-3,靠窗,可用,中央图书馆,room-001
room-001-2-4,中央图书馆-2-4,有插座,可用,中央图书馆,room-001
room-001-2-5,中央图书馆-2-5,普通,可用,中央图书馆,room-001
room-001-2-6,中央图书馆-2-6,靠窗,可用,中央图书馆,room-001
room-001-2-7,中央图书馆-2-7,有插座,可用,中央图书馆,room-001
room-001-2-8,中央图书馆-2-8,普通,可用,中央图书馆,room-001
room-001-2-9,中央图书馆-2-9,靠窗,可用,中央图书馆,room-001
room-001-2-10,中央图书馆-2-10,有插座,可用,中央图书馆,room-001
room-001-3-1,中央图书馆-3-1,普通,可用,中央图书馆,room-001
room-001-3-2,中央图书馆-3-2,靠窗,可用,中央图书馆,room-001
room-001-3-3,中央图书馆-3-3,有插座,可用,中央图书馆,room-001
room-001-3-4,中央图书馆-3-4,普通,可用,中央图书馆,room-001
room-001-3-5,中央图书馆-3-5,靠窗,可用,中央图书馆,room-001
room-001-3-6,中央图书馆-3-6,有插座,可用,中央图书馆,room-001
room-001-3-7,中央图书馆-3-7,普通,可用,中央图书馆,room-001
room-001-3-8,中央图书馆-3-8,靠窗,可用,中央图书馆,room-001
room-001-3-9,中央图书馆-3-9,有插座,可用,中央图书馆,room-001
room-001-3-10,中央图书馆-3-10,普通,可用,中央图书馆,room-001
room-001-4-1,中央图书馆-4-1,靠窗,可用,中央图书馆,room-001
room-001-4-2,中央图书馆-4-2,有插座,可用,中央图书馆,room-001
