"number","name.zh_CN","status","creator.number","creator.name","modifier.number","modifier.name","enable","createtime","modifytime","lb77_picturefield","lb77_author","lb77_type","lb77_press","lb77_enable","lb77_addr"
"*书籍ISBN码","*书籍名称.简体中文","书籍状态","创建人.工号","创建人.姓名","修改人.工号","修改人.姓名","使用状态","创建时间","修改时间","书籍图片","书籍作者","书籍类别","出版社","使用状态","存放位置"
"9787532781354","三体",,,,,,,,,,"刘慈欣","科幻","重庆出版社","可用","1层-A1-01"
"9787506365437","活着",,,,,,,,,,"余华","文学","作家出版社","可用","2层-B3-05"
"9787020138982","围城",,,,,,,,,,"钱钟书","文学","人民文学出版社","可用","2层-B3-02"
"9787544253994","百年孤独",,,,,,,,,,"[哥] 加西亚·马尔克斯","文学","南海出版公司","可用","2层-B4-08"
"9787115545499","JavaScript高级程序设计(第4版)",,,,,,,,,,"[美] 马特·弗里斯比","计算机","人民邮电出版社","可用","3层-C1-11"
"9787121352227","深入理解计算机系统",,,,,,,,,,"[美] Randal E. Bryant","计算机","机械工业出版社","可用","3层-C1-12"
"9787111641094","洞穴奇案",,,,,,,,,,"[美] 彼得·萨伯","法学","北京大学出版社","可用","4层-F5-01"
"9787508647357","人类简史",,,,,,,,,,"[以] 尤瓦尔·赫拉利","社科","中信出版社","可用","1层-S5-09"
"9787549400844","艺术的故事",,,,,,,,,,"[英] E.H.贡布里希","艺术","广西美术出版社","可用","4层-Y1-03"
"9787115461430","深度学习",,,,,,,,,,"[美] 伊恩·古德费洛","计算机","人民邮电出版社","可用","3层-C1-15"
"9787208108844","追风筝的人",,,,,,,,,,"[美] 卡勒德·胡赛尼","小说","上海人民出版社","可用","2层-B6-07"
"9787544270878","解忧杂货店",,,,,,,,,,"[日] 东野圭吾","小说","南海出版公司","可用","2层-B6-01"
"9787530216773","平凡的世界",,,,,,,,,,"路遥","文学","北京十月文艺出版社","可用","2层-B3-09"
"9787121103713","代码整洁之道",,,,,,,,,,"[美] Robert C. Martin","计算机","电子工业出版社","可用","3层-C2-01"
"9787535799334","奈特人体解剖学图谱",,,,,,,,,,"[美] 弗兰克·奈特","医学","湖南科学技术出版社","可用","4层-M7-02"
"9787208170827","乡土中国",,,,,,,,,,"费孝通","社科","上海人民出版社","可用","1层-S5-02"
"9787508633596","思考，快与慢",,,,,,,,,,"[美] 丹尼尔·卡尼曼","经管","中信出版社","可用","1层-J3-06"
"9787532742188","枪炮、病菌与钢铁",,,,,,,,,,"[美] 贾雷德·戴蒙德","历史","上海译文出版社","可用","2层-H3-10"
"9787209117946","设计中的设计",,,,,,,,,,"[日] 原研哉","艺术","山东人民出版社","可用","4层-Y2-05"
"9787208171336","置身事内",,,,,,,,,,"兰小欢","经济","上海人民出版社","可用","1层-J4-04" 
