number,name.zh_CN,status,creator.number,creator.name,modifier.number,modifier.name,enable,createtime,modifytime,lb77_device_type,lb77_location,lb77_status,lb77_brand_model,lb77_picturefield
W001,一号楼洗衣机01,,,,,,,,,洗衣机,一号宿舍楼A区洗衣房,正常,海尔 XQG80-B1286,
W002,一号楼洗衣机02,,,,,,,,,洗衣机,一号宿舍楼A区洗衣房,正常,海尔 XQG80-B1286,
W003,一号楼洗衣机03,,,,,,,,,洗衣机,一号宿舍楼B区洗衣房,故障,美的 MD100V11D,
W004,二号楼洗衣机01,,,,,,,,,洗衣机,二号宿舍楼洗衣房,正常,小天鹅 TG100V86WMAD5,
W005,二号楼洗衣机02,,,,,,,,,洗衣机,二号宿舍楼洗衣房,正常,小天鹅 TG100V86WMAD5,
W006,五号楼洗衣机01,,,,,,,,,洗衣机,五号宿舍楼一楼,正常,海尔 EG100HPLUS8SU1,
W007,五号楼洗衣机02,,,,,,,,,洗衣机,五号宿舍楼一楼,正常,海尔 EG100HPLUS8SU1,
W008,五号楼洗衣机03,,,,,,,,,洗衣机,五号宿舍楼二楼,正常,美的 MDK100-B11,
W009,五号楼洗衣机04,,,,,,,,,洗衣机,五号宿舍楼二楼,正常,美的 MDK100-B11,
W010,七号楼洗衣机01,,,,,,,,,洗衣机,七号宿舍楼洗衣房,正常,海尔 XQG100-HBD14959U1,
P001,图书馆打印机01,,,,,,,,,打印机,图书馆一楼东侧,正常,惠普 LaserJet Pro M404dw,
P002,图书馆打印机02,,,,,,,,,打印机,图书馆一楼东侧,正常,惠普 LaserJet Pro M404dw,
P003,图书馆打印机03,,,,,,,,,打印机,图书馆三楼西侧,故障,联想 M7655DHF,
P004,图书馆打印机04,,,,,,,,,打印机,图书馆三楼西侧,正常,联想 M7655DHF,
P005,文印中心打印机A,,,,,,,,,打印机,文印中心,正常,佳能 iR2625,
P006,文印中心打印机B,,,,,,,,,打印机,文印中心,正常,佳能 iR2625,
P007,文印中心打印机C,,,,,,,,,打印机,文印中心,正常,惠普 M439nda,
P008,行政楼打印机01,,,,,,,,,打印机,行政楼一楼,正常,联想 M7260,
P009,艺术楼打印机01,,,,,,,,,打印机,艺术学院楼二楼,正常,惠普 M439nda,
P010,计算机楼打印机01,,,,,,,,,打印机,计算机学院三楼,正常,佳能 iR2625, 
