"number","name.zh_CN","status","creator.number","creator.name","modifier.number","modifier.name","enable","createtime","modifytime","lb77_studyroom_id.number","lb77_studyroom_id.name","lb77_type","lb77_status"
"*ID","*座位编号.简体中文","数据状态","创建人.工号","创建人.姓名","修改人.工号","修改人.姓名","使用状态","创建时间","修改时间","关联自习室ID.ID","关联自习室ID.自习室名称","座位类型","状态"
"seat-0001","中央图书馆-1-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0002","中央图书馆-1-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0003","中央图书馆-1-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0004","中央图书馆-1-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0005","中央图书馆-1-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0006","中央图书馆-1-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0007","中央图书馆-1-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0008","中央图书馆-1-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0009","中央图书馆-1-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0010","中央图书馆-1-10",,,,,,,,,"room-001","中央图书馆","有插座","损坏"
"seat-0011","中央图书馆-1-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0012","中央图书馆-1-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0013","中央图书馆-2-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0014","中央图书馆-2-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0015","中央图书馆-2-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0016","中央图书馆-2-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0017","中央图书馆-2-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0018","中央图书馆-2-6",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0019","中央图书馆-2-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0020","中央图书馆-2-8",,,,,,,,,"room-001","中央图书馆","靠窗","损坏"
"seat-0021","中央图书馆-2-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0022","中央图书馆-2-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0023","中央图书馆-2-11",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0024","中央图书馆-2-12",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0025","中央图书馆-3-1",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0026","中央图书馆-3-2",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0027","中央图书馆-3-3",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0028","中央图书馆-3-4",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0029","中央图书馆-3-5",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0030","中央图书馆-3-6",,,,,,,,,"room-001","中央图书馆","无","损坏"
"seat-0031","中央图书馆-3-7",,,,,,,,,"room-001","中央图书馆","有插座","可用"
"seat-0032","中央图书馆-3-8",,,,,,,,,"room-001","中央图书馆","靠窗","可用"
"seat-0033","中央图书馆-3-9",,,,,,,,,"room-001","中央图书馆","无","可用"
"seat-0034","中央图书馆-3-10",,,,,,,,,"room-001","中央图书馆","有插座","可用"
