number,name.zh_CN,status,creator.number,creator.name,modifier.number,modifier.name,enable,createtime,modifytime,lb77_canteen_id.number,lb77_canteen_id.name,lb77_canteen_window,lb77_description,lb77_price,lb77_category,lb77_status,lb77_tags
*菜品编码,*菜品名称.简体中文,数据状态,创建人.工号,创建人.姓名,修改人.工号,修改人.姓名,使用状态,创建时间,修改时间,所属食堂.食堂编码,所属食堂.食堂名称,所属窗口,菜品图片,价格,菜品分类,售卖状态,口味标签
CP001,宫保鸡丁,,,,,,,,,ST001,一食堂,1号窗口,,12,热菜,供应中,"家常,微辣"
CP002,鱼香肉丝,,,,,,,,,ST001,一食堂,1号窗口,,12,热菜,供应中,"家常,酸甜"
CP003,麻婆豆腐,,,,,,,,,ST001,一食堂,2号窗口,,8,热菜,供应中,"家常,麻辣"
CP004,番茄炒蛋,,,,,,,,,ST001,一食堂,2号窗口,,6,热菜,供应中,"家常,酸甜"
CP005,红烧茄子,,,,,,,,,ST001,一食堂,3号窗口,,7,素菜,供应中,"家常,咸鲜"
CP006,酸辣土豆丝,,,,,,,,,ST001,一食堂,3号窗口,,5,素菜,供应中,"家常,酸辣"
CP007,米饭,,,,,,,,,ST001,一食堂,4号窗口,,1,主食,供应中,
CP008,可乐鸡翅,,,,,,,,,ST001,一食堂,1号窗口,,14,热菜,供应中,甜口
CP009,青椒肉丝,,,,,,,,,ST001,一食堂,2号窗口,,10,热菜,供应中,家常
CP010,清炒西兰花,,,,,,,,,ST001,一食堂,3号窗口,,8,素菜,供应中,清淡
CP011,糖醋里脊,,,,,,,,,ST002,二食堂,1号窗口,,15,热菜,供应中,"酸甜,经典"
CP012,地三鲜,,,,,,,,,ST002,二食堂,1号窗口,,9,热菜,供应中,家常
CP013,干煸豆角,,,,,,,,,ST002,二食堂,2号窗口,,10,素菜,供应中,"干香,微辣"
CP014,水煮肉片,,,,,,,,,ST002,二食堂,特色窗口,,18,热菜,供应中,"麻辣,川菜"
CP015,红烧排骨,,,,,,,,,ST002,二食堂,1号窗口,,16,热菜,供应中,咸鲜
CP016,清炒时蔬,,,,,,,,,ST002,二食堂,2号窗口,,7,素菜,供应中,清淡
CP017,米饭,,,,,,,,,ST002,二食堂,3号窗口,,1,主食,供应中,
CP018,花卷,,,,,,,,,ST002,二食堂,3号窗口,,1.5,主食,供应中,
CP019,酸菜鱼,,,,,,,,,ST002,二食堂,特色窗口,,22,热菜,供应中,"酸辣,开胃"
CP020,蒜蓉油麦菜,,,,,,,,,ST002,二食堂,2号窗口,,8,素菜,供应中,家常
CP021,麻辣香锅,,,,,,,,,ST003,风味餐厅,麻辣香锅窗口,,30,特色,供应中,"自选,麻辣"
CP022,黄焖鸡米饭,,,,,,,,,ST003,风味餐厅,盖饭窗口,,18,特色,供应中,咸鲜
CP023,螺蛳粉,,,,,,,,,ST003,风味餐厅,粉面窗口,,15,特色,供应中,"酸辣,特色"
CP024,兰州拉面,,,,,,,,,ST003,风味餐厅,粉面窗口,,13,特色,供应中,"清淡,劲道"
CP025,肉夹馍,,,,,,,,,ST003,风味餐厅,小吃窗口,,8,特色,供应中,咸香
CP026,重庆小面,,,,,,,,,ST003,风味餐厅,粉面窗口,,12,特色,供应中,麻辣
CP027,过桥米线,,,,,,,,,ST003,风味餐厅,粉面窗口,,20,特色,供应中,鲜美
CP028,铁板炒饭,,,,,,,,,ST003,风味餐厅,铁板烧窗口,,16,特色,供应中,咸香
CP029,鸭血粉丝汤,,,,,,,,,ST003,风味餐厅,小吃窗口,,10,特色,供应中,咸鲜
CP030,煎饼果子,,,,,,,,,ST003,风味餐厅,小吃窗口,,7,特色,供应中,家常
CP031,大盘鸡,,,,,,,,,ST004,清真餐厅,特色主菜窗口,,58,清真,供应中,"麻辣,量大"
CP032,羊肉串,,,,,,,,,ST004,清真餐厅,烧烤窗口,,5,清真,供应中,香辣
CP033,手抓饭,,,,,,,,,ST004,清真餐厅,特色主食窗口,,25,清真,供应中,咸香
CP034,馕,,,,,,,,,ST004,清真餐厅,特色主食窗口,,3,清真,供应中,
CP035,牛肉拉面,,,,,,,,,ST004,清真餐厅,粉面窗口,,14,清真,供应中,清汤
CP036,烤包子,,,,,,,,,ST004,清真餐厅,特色主食窗口,,4,清真,供应中,咸香
CP037,丁丁炒面,,,,,,,,,ST004,清真餐厅,粉面窗口,,18,清真,供应中,酸甜
CP038,过油肉拌面,,,,,,,,,ST004,清真餐厅,粉面窗口,,20,清真,供应中,咸鲜
CP039,清炖羊肉汤,,,,,,,,,ST004,清真餐厅,汤羹窗口,,15,清真,供应中,鲜美
CP040,炒烤肉,,,,,,,,,ST004,清真餐厅,特色主菜窗口,,28,清真,供应中,香辣 
